Year,Month,short,long,ancillary
2023,4,3.4,,1.5
2023,5,3.5,,1.7
2023,6,2.7,,1.5
2023,7,2.8,,1.5
2023,8,2.6,,1.4
2023,9,2.6,1.5,1.7
2023,10,3.1,7.3,2.4
2023,11,2.9,8.4,2.6
2023,12,3.5,9.0,4.3
2024,1,3.2,9.1,2.9
2024,2,3.3,9.2,3.0
2024,3,4.2,10.7,3.2
2024,4,3.5,8.8,2.9
2024,5,2.9,9.6,2.9
2024,6,2.4,9.9,2.9
2024,7,2.1,9.9,2.8
2024,8,2.0,9.3,2.7
2024,9,1.9,9.4,2.8
2024,10,2.3,9.9,2.8
2024,11,2.5,11.3,3.1
2024,12,3.0,11.8,3.4
2025,1,2.8,10.9,3.2
2025,2,3.1,10.7,3.2
2025,3,4.0,13.2,3.6
2025,4,2.7,10.9,3.2
2025,5,2.7,11.5,3.4
2025,6,2.1,11.4,3.3
2025,7,2.2,11.7,3.3
2025,8,2.1,11.3,3.4
2025,9,2.1,10.8,3.0
2025,10,2.4,11.8,3.3
2025,11,2.6,13.7,3.8
2025,12,3.2,13.4,4.1
2026,1,2.9,12.8,3.5
