Year,Month,Roanoke,Newport News,Norfolk,Richmond
2019,1,14862,21436,10517,10557
2019,2,12717,19986,9941,10262
2019,3,17509,25143,20132,8014
2019,4,18984,28001,22874,8813
2019,5,19535,28653,22045,9016
2019,6,19281,29529,22131,9367
2019,7,20831,31172,29864,10174
2019,8,19922,33541,33784,9695
2019,9,17192,25314,25728,8559
2019,10,21691,31944,26936,10911
2019,11,19964,29805,23009,9194
2019,12,22033,33155,28228,11057
2020,1,16689,24152,19220,8276
2020,2,14322,20344,16903,7695
2020,3,8350,12122,9128,3070
2020,4,1116,1113,1124,0
2020,5,1867,2255,2173,0
2020,6,3361,4620,4573,0
2020,7,4900,7073,7052,0
2020,8,5055,6789,6531,0
2020,9,5350,9095,7681,0
2020,10,7156,11347,8227,0
2020,11,6099,10816,7380,0
2020,12,5446,10296,7188,0
2021,1,4818,8763,5907,0
2021,2,4303,8536,5601,0
2021,3,7160,12486,8646,0
2021,4,9385,15661,10977,0
2021,5,11523,19058,13015,0
2021,6,13545,23157,17589,0
2021,7,15903,27722,20938,0
2021,8,15280,25733,20694,0
2021,9,13026,21524,15852,374
2021,10,16358,23735,17649,4040
2021,11,16991,24800,19247,5501
2021,12,14809,22583,19526,5496
2022,1,9278,9210,12007,3271
2022,2,9509,9750,12769,4050
2022,3,16516,14392,18582,6107
2022,4,19605,16519,26195,8114
2022,5,21059,17961,28052,9205
2022,6,21564,18956,33094,11919
2022,7,27374,29271,40763,12848
2022,8,28655,33055,45742,11828
2022,9,28357,28805,37609,10918
2022,10,28907,28183,37110,10416
2022,11,29792,30585,41163,11305
2022,12,28158,29327,42008,11589
2023,1,22639,24215,31226,9220
2023,2,20609,22811,29644,8329
2023,3,27444,28011,36482,10150
2023,4,27429,29945,39197,11358
2023,5,26382,27929,37234,10889
2023,6,27424,29839,41908,12041
2023,7,29110,34653,48551,13174
2023,8,30139,36530,50814,13515
2023,9,31180,34153,44361,13120
2023,10,32915,34251,45709,12814
2023,11,30265,32089,43391,12490
